,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
351,2030,27.462893690282705,1.3829744546,6,Inequality,3,3,2.500000
352,2035,19.069641585054697,1.4774668157,6,Inequality,3,3,2.500000
353,2040,11.126742457640601,1.5413170443,6,Inequality,3,3,2.500000
354,2045,5.408624625168501,1.5726719426,6,Inequality,3,3,2.500000
355,2050,5.485719240508902,1.5756787986,6,Inequality,3,3,2.500000
356,2055,5.558491782009701,1.5601443899,6,Inequality,3,3,2.500000
357,2060,5.422943913474834,1.5482499269,6,Inequality,3,3,2.500000
358,2065,5.530307221115608,1.5418733052,6,Inequality,3,3,2.500000
359,2070,5.614373192229039,1.5390404158,6,Inequality,3,3,2.500000
360,2075,5.662918493591591,1.5393971543,6,Inequality,3,3,2.500000
361,2080,5.640058933254439,1.5422032685,6,Inequality,3,3,2.500000
362,2085,5.55170422310341,1.5468274143,6,Inequality,3,3,2.500000
363,2090,5.392345547531309,1.5526657885,6,Inequality,3,3,2.500000
364,2095,5.170192704679522,1.5592343598,6,Inequality,3,3,2.500000
365,2100,4.907825776338272,1.5661063698,6,Inequality,3,3,2.500000
366,2105,4.58406606003509,1.5729323501,6,Inequality,3,3,2.500000
367,2110,4.240583197239441,1.5794807522,6,Inequality,3,3,2.500000
368,2115,3.882997101951922,1.5854722313,6,Inequality,3,3,2.500000
369,2120,3.5369265352377295,1.5907838094,6,Inequality,3,3,2.500000
370,2125,3.22847373767565,1.5953372742,6,Inequality,3,3,2.500000
